,Postal code,Borough,Neighborhood,Latitude,Longitude
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
15,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
19,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312
20,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
24,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
25,M6G,Downtown Toronto,Christie,43.669542,-79.4225637
30,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675
31,M6H,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999
37,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
54,M4M,East Toronto,Studio District,43.6595255,-79.340923
61,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
62,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
68,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.41130720000001
69,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
73,M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
79,M4S,Central Toronto,Davisville,43.7043244,-79.3887901
80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
81,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
91,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
92,M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
99,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
100,M7Y,East Toronto,Business reply mail Processing CentrE,43.6627439,-79.321558
